raceid,driverid,qnumber,q
10,17,1,00:01:21
10,17,2,00:01:20.4
10,17,3,00:01:21.7
10,18,1,00:01:21.5
10,18,2,00:01:20.7
10,18,3,00:01:22.5
10,20,1,00:01:21.2
10,20,2,00:01:20.6
10,20,3,00:01:21.6
10,21,1,00:01:21.8
10,22,1,00:01:21.6
10,22,2,00:01:21.2
10,67,1,00:01:21.6
10,67,2,00:01:21
10,153,1,00:01:22.4
11,1,1,00:01:38.6
11,1,2,00:01:38.2
11,1,3,00:01:39.5
11,2,1,00:01:39
11,2,2,00:01:38.8
11,3,1,00:01:39
11,3,2,00:01:38.3
11,3,3,00:01:40.2
11,4,1,00:01:39.2
11,4,2,00:01:38.7
11,4,3,00:01:40.2
11,5,1,00:01:38.8
11,5,2,00:01:38.2
11,5,3,00:01:39.5
11,6,1,00:01:39.8
11,8,1,00:01:38.8
11,8,2,00:01:38.8
11,8,3,00:01:40.1
11,9,1,00:01:38.8
11,9,2,00:01:38.7
11,9,3,00:01:40.5
11,10,1,00:01:39.5
11,10,2,00:01:39
11,15,1,00:01:39.8
11,16,1,00:01:39.1
11,16,2,00:01:38.8
11,17,1,00:01:39
11,17,2,00:01:38.6
11,17,3,00:01:40.2
11,18,1,00:01:38.5
11,18,2,00:01:38.6
11,18,3,00:01:39.8
11,20,1,00:01:39.3
11,20,2,00:01:38.3
11,20,3,00:01:39.8
11,21,1,00:01:39.5
11,22,1,00:01:39
11,22,2,00:01:38.1
11,22,3,00:01:39.6
11,67,1,00:01:38.9
11,67,2,00:01:39.5
11,69,1,00:01:41.4
11,153,1,00:01:39.9
11,154,1,00:01:39.3
11,154,2,00:01:39
12,1,1,00:01:45.8
12,1,2,00:01:45.1
12,2,1,00:01:45.6
12,2,2,00:01:44.7
12,2,3,00:01:46.5
12,3,1,00:01:45.5
12,3,2,00:01:45
12,3,3,00:01:47.4
12,4,1,00:01:45.7
12,4,2,00:01:45.1
12,5,1,00:01:45.7
12,5,2,00:01:45.3
12,6,1,00:01:46.3
12,8,1,00:01:45.6
12,8,2,00:01:45
12,8,3,00:01:46.6
12,9,1,00:01:45.7
12,9,2,00:01:44.6
12,9,3,00:01:46.6
12,10,1,00:01:45.5
12,10,2,00:01:44.9
12,10,3,00:01:46.7
12,15,1,00:01:45.1
12,15,2,00:01:44.5
12,15,3,00:01:46.4
12,16,1,00:01:45.2
12,16,2,00:01:45.1
12,17,1,00:01:45.3
12,17,2,00:01:44.9
12,17,3,00:01:46.8
12,18,1,00:01:45.8
12,18,2,00:01:45.3
12,20,1,00:01:45.4
12,20,2,00:01:44.6
12,20,3,00:01:46.8
12,21,1,00:01:45.1
12,21,2,00:01:44.7
12,21,3,00:01:46.3
12,22,1,00:01:45.2
12,22,2,00:01:44.8
12,22,3,00:01:46.5
12,67,1,00:01:46
12,69,1,00:01:47
12,153,1,00:01:46.3
12,154,1,00:01:46.4
13,1,1,00:01:23.4
13,1,2,00:01:23
13,1,3,00:01:24.1
13,2,1,00:01:23.6
13,2,2,00:01:24.3
13,3,1,00:01:24.1
13,4,1,00:01:23.7
13,4,2,00:01:23.5
13,4,3,00:01:25.1
13,5,1,00:01:23.5
13,5,2,00:01:23.5
13,5,3,00:01:24.8
13,6,1,00:01:24.1
13,8,1,00:01:23.3
13,8,2,00:01:23.4
13,8,3,00:01:24.5
13,9,1,00:01:24
13,9,2,00:01:23.9
13,10,1,00:01:24
13,15,1,00:01:24
13,15,2,00:01:23.6
13,16,1,00:01:23.6
13,16,2,00:01:23.1
13,16,3,00:01:24.3
13,17,1,00:01:23.8
13,17,2,00:01:23.3
13,17,3,00:01:25.3
13,18,1,00:01:23.4
13,18,2,00:01:23
13,18,3,00:01:25
13,20,1,00:01:23.6
13,20,2,00:01:23.5
13,20,3,00:01:25.2
13,21,1,00:01:23.8
13,21,2,00:01:23.9
13,22,1,00:01:23.5
13,22,2,00:01:23
13,22,3,00:01:25
13,24,1,00:01:23.6
13,24,2,00:01:23.2
13,24,3,00:01:25
13,67,1,00:01:24.2
13,153,1,00:01:25
13,154,1,00:01:24
13,154,2,00:01:23.7
14,1,1,00:01:47
14,1,2,00:01:46.7
14,1,3,00:01:47.9
14,2,1,00:01:47.3
14,2,2,00:01:46.8
14,2,3,00:01:49.3
14,3,1,00:01:47.4
14,3,2,00:01:46.2
14,3,3,00:01:48.3
14,4,1,00:01:47.8
14,4,2,00:01:46.8
14,4,3,00:01:49.1
14,5,1,00:01:47.5
14,5,2,00:01:46.8
14,5,3,00:01:49.8
14,6,1,00:01:47.6
14,6,2,00:01:47
14,8,1,00:01:47.3
14,8,2,00:01:47.2
14,9,1,00:01:47.6
14,9,2,00:01:46.8
14,9,3,00:01:49.5
14,10,1,00:01:47.8
14,10,2,00:01:46.7
14,10,3,00:01:49.2
14,15,1,00:01:47.7
14,15,2,00:01:47.4
14,16,1,00:01:48.2
14,17,1,00:01:47.6
14,17,2,00:01:46.3
14,17,3,00:01:48.7
14,18,1,00:01:47.2
14,18,2,00:01:47.1
14,20,1,00:01:47.5
14,20,2,00:01:46.4
14,20,3,00:01:48.2
14,21,1,00:01:48.3
14,22,1,00:01:47.4
14,22,2,00:01:46.8
14,22,3,00:01:48.8
14,24,1,00:01:48.8
14,67,1,00:01:47.7
14,67,2,00:01:47.4
14,153,1,00:01:48.3
14,154,1,00:01:48.5
15,1,1,00:01:30.9
15,1,2,00:01:30.6
15,1,3,00:01:32.4
15,2,1,00:01:31.5
15,2,2,00:01:31.3
15,2,3,00:01:32.9
15,3,1,00:01:31.3
15,3,2,00:01:31.5
15,4,1,00:01:31.4
15,4,2,00:01:31.6
15,5,1,00:01:31.5
15,5,2,00:01:31.2
15,6,1,00:01:31.7
15,8,1,00:01:31.3
15,8,2,00:01:31.1
15,8,3,00:01:33
15,9,1,00:01:31.4
15,9,2,00:01:32.3
15,10,1,00:01:31.6
15,15,1,00:01:31.1
15,15,2,00:01:30.7
15,15,3,00:01:32.2
15,16,1,00:01:31.4
15,16,2,00:01:31.2
15,16,3,00:01:32.5
15,17,1,\N
15,18,1,00:01:31
15,18,2,00:01:30.9
15,18,3,00:01:33
15,20,1,00:01:30.9
15,20,2,00:01:30.3
15,20,3,00:01:32.2
15,21,1,00:01:31.7
15,22,1,00:01:31.3
15,22,2,00:01:31.1
15,22,3,00:01:32.7
15,24,1,00:01:32.1
15,67,1,00:01:31.2
15,67,2,00:01:31.1
15,153,1,00:01:31.6
15,154,1,00:01:32.1
16,1,1,00:01:25.2
16,2,1,00:01:25.5
16,3,1,00:01:22.8
16,3,2,00:01:20.4
16,3,3,00:01:20.3
16,4,1,00:01:24.8
16,4,2,00:01:21.7
16,4,3,00:01:21.4
16,5,1,00:01:25.1
16,6,1,00:01:23.2
16,6,2,00:01:20.4
16,6,3,00:01:20.7
16,8,1,00:01:23
16,8,2,00:01:21.4
16,8,3,00:01:20.2
16,9,1,00:01:23.1
16,9,2,00:01:21.1
16,9,3,00:01:20.6
16,15,1,00:01:24.6
16,15,2,00:01:20.6
16,15,3,00:01:20.1
16,16,1,00:01:24.4
16,16,2,00:01:20.8
16,16,3,00:01:19.9
16,17,1,00:01:24.7
16,17,2,00:01:20.8
16,17,3,00:01:19.7
16,18,1,00:01:24.3
16,18,2,00:01:22.5
16,20,1,00:01:25
16,21,1,00:01:40.7
16,22,1,00:01:24.1
16,22,2,00:01:21.7
16,22,3,00:01:19.6
16,24,1,00:01:24.6
16,67,1,00:01:24.6
16,67,2,00:01:20.7
16,67,3,00:01:20.3
16,153,1,00:01:24.8
16,153,2,00:01:22.2
16,154,1,00:01:24.4
16,154,2,00:01:22.5
16,155,1,00:01:24.3
16,155,2,00:01:22
17,1,1,00:01:39.9
17,1,2,00:01:39.7
17,1,3,00:01:40.9
17,2,1,00:01:40.6
17,2,2,00:01:40.6
17,2,3,00:01:42.3
17,3,1,00:01:40.8
17,3,2,00:01:40.7
17,3,3,00:01:42.6
17,4,1,00:01:41.7
17,5,1,00:01:40.8
17,5,2,00:01:41
17,6,1,00:01:41.1
17,6,2,00:01:41.1
17,8,1,00:01:41.1
17,8,2,00:01:40.7
17,9,1,00:01:40.5
17,9,2,00:01:40.5
17,9,3,00:01:42
17,15,1,00:01:40.5
17,15,2,00:01:40.4
17,15,3,00:01:41.9
17,16,1,00:01:41.8
17,17,1,00:01:40.7
17,17,2,00:01:40.3
17,17,3,00:01:41.7
17,18,1,00:01:40.4
17,18,2,00:01:40.1
17,18,3,00:01:41.9
17,20,1,00:01:40.7
17,20,2,00:01:40
17,20,3,00:01:41.6
17,21,1,00:01:42.2
17,22,1,00:01:40.6
17,22,2,00:01:40.4
17,22,3,00:01:41.8
17,24,1,00:01:41.7
17,67,1,00:01:40.9
17,67,2,00:01:40.4
17,67,3,00:01:42.7
17,153,1,00:01:41.5
17,153,2,00:01:41.7
17,154,1,00:01:42
17,155,1,00:01:41
17,155,2,00:01:40.8
18,1,1,00:01:26.6
18,1,2,00:01:25.2
18,1,3,00:01:26.7
18,2,1,00:01:26
18,2,2,00:01:25.5
18,2,3,00:01:27.2
18,3,1,00:01:26.3
18,3,2,00:01:26.1
18,3,3,00:01:28.7
18,4,1,00:01:26.9
18,4,2,00:01:26.2
18,5,1,00:01:25.7
18,5,2,00:01:25.5
18,5,3,00:01:27.1
18,6,1,00:01:26.9
18,6,2,00:01:26.4
18,7,1,00:01:27.4
18,8,1,00:01:26.1
18,9,1,00:01:26.1
18,9,2,00:01:25.3
18,9,3,00:01:26.9
18,10,1,00:01:26.9
18,10,2,00:01:26.2
18,10,3,00:01:29.6
18,11,1,00:01:28.2
18,12,1,00:01:28.3
18,13,1,00:01:26
18,13,2,00:01:25.7
18,13,3,00:01:27.2
18,14,1,00:01:26.4
18,14,2,00:01:26.1
18,14,3,00:01:29
18,15,1,00:01:26.4
18,15,2,00:01:26.1
18,15,3,00:01:28.5
18,16,1,00:01:27.9
18,17,1,00:01:26.9
18,18,1,00:01:26.7
18,18,2,00:01:26.3
18,19,1,00:01:29.1
18,20,1,00:01:26.7
18,20,2,00:01:25.8
18,21,1,00:01:27.2
18,22,1,00:01:26.4
18,22,2,00:01:26.2
19,1,1,00:01:35.4
19,1,2,00:01:34.6
19,1,3,00:01:36.7
19,2,1,00:01:35.7
19,2,2,00:01:34.6
19,2,3,00:01:36.8
19,3,1,00:01:35.8
19,3,2,00:01:35.7
19,4,1,00:01:36
19,4,2,00:01:35.1
19,4,3,00:01:38.5
19,5,1,00:01:35.2
19,5,2,00:01:34.8
19,5,3,00:01:36.6
19,6,1,00:01:36.4
19,7,1,00:01:36.7
19,8,1,00:01:35.6
19,8,2,00:01:34.2
19,8,3,00:01:36.2
19,9,1,00:01:35.8
19,9,2,00:01:34.8
19,9,3,00:01:36.7
19,10,1,00:01:35.9
19,10,2,00:01:35
19,10,3,00:01:39.7
19,11,1,00:01:37.1
19,12,1,00:01:36.1
19,12,2,00:01:35.6
19,13,1,00:01:35.3
19,13,2,00:01:34.4
19,13,3,00:01:35.7
19,14,1,00:01:36.1
19,14,2,00:01:35.4
19,15,1,00:01:35.2
19,15,2,00:01:35
19,15,3,00:01:36.7
19,16,1,00:01:37.1
19,17,1,00:01:35.4
19,17,2,00:01:35
19,17,3,00:01:37
19,18,1,00:01:35.8
19,18,2,00:01:35.2
19,19,1,00:01:37.5
19,20,1,00:01:36.1
19,20,2,00:01:35.6
19,21,1,00:01:36.2
19,22,1,00:01:36.2
19,22,2,00:01:35.6
20,1,1,00:01:32.7
20,1,2,00:01:31.9
20,1,3,00:01:33.3
20,2,1,00:01:33.1
20,2,2,00:01:31.9
20,2,3,00:01:33.7
20,3,1,00:01:32.9
20,3,2,00:01:32.2
20,3,3,00:01:34
20,4,1,00:01:32.9
20,4,2,00:01:32.3
20,4,3,00:01:35.1
20,5,1,00:01:33.1
20,5,2,00:01:31.7
20,5,3,00:01:33.5
20,6,1,00:01:33.4
20,6,2,00:01:32.9
20,7,1,00:01:33.4
20,7,2,00:01:32.9
20,8,1,00:01:32.7
20,8,2,00:01:31.9
20,8,3,00:01:33.4
20,9,1,00:01:32.9
20,9,2,00:01:31.7
20,9,3,00:01:33.1
20,10,1,00:01:32.8
20,10,2,00:01:32.5
20,11,1,00:01:35.7
20,12,1,00:01:33
20,12,2,00:01:32.8
20,13,1,00:01:31.9
20,13,2,00:01:31.2
20,13,3,00:01:33.1
20,14,1,00:01:33.4
20,15,1,00:01:32.5
20,15,2,00:01:32.2
20,15,3,00:01:34
20,16,1,00:01:33.8
20,17,1,00:01:33.2
20,17,2,00:01:32.4
20,18,1,00:01:32.8
20,18,2,00:01:32.4
20,18,3,00:01:35.1
20,19,1,00:01:34.1
20,20,1,00:01:33.6
20,21,1,00:01:33.5
20,22,1,00:01:32.9
20,22,2,00:01:32.5
21,1,1,00:01:21.4
21,1,2,00:01:20.8
21,1,3,00:01:22.1
21,2,1,00:01:21.5
21,2,2,00:01:20.8
21,2,3,00:01:22.5
21,3,1,00:01:21.5
21,3,2,00:01:21.3
21,4,1,00:01:21.3
21,4,2,00:01:20.8
21,4,3,00:01:21.9
21,5,1,00:01:21.4
21,5,2,00:01:20.8
21,5,3,00:01:22.2
21,6,1,00:01:21.7
21,6,2,00:01:21.1
21,7,1,00:01:21.5
21,7,2,00:01:21.7
21,8,1,00:01:20.7
21,8,2,00:01:20.8
21,8,3,00:01:21.8
21,9,1,00:01:21.4
21,9,2,00:01:20.6
21,9,3,00:01:22.1
21,10,1,00:01:21.4
21,10,2,00:01:21.2
21,11,1,00:01:23.5
21,12,1,00:01:21.4
21,12,2,00:01:20.9
21,12,3,00:01:22.7
21,13,1,00:01:21.5
21,13,2,00:01:20.6
21,13,3,00:01:22.1
21,14,1,00:01:21.8
21,15,1,00:01:21.2
21,15,2,00:01:20.9
21,15,3,00:01:22.5
21,16,1,00:01:23.2
21,17,1,00:01:21.5
21,17,2,00:01:21
21,17,3,00:01:22.4
21,18,1,00:01:21.8
21,18,2,00:01:21.2
21,19,1,00:01:23.3
21,20,1,00:01:22.1
21,21,1,00:01:22.5
21,22,1,00:01:21.5
21,22,2,00:01:21
22,1,1,00:01:26.2
22,1,2,00:01:26.5
22,1,3,00:01:27.9
22,2,1,00:01:27.1
22,2,2,00:01:27.6
22,2,3,00:01:28.9
22,3,1,00:01:27.4
22,3,2,00:01:27
22,4,1,00:01:26.8
22,4,2,00:01:26.5
22,4,3,00:01:28.4
22,5,1,00:01:26.7
22,5,2,00:01:26.3
22,5,3,00:01:27.8
22,6,1,00:01:27.5
22,7,1,00:01:27.6
22,8,1,00:01:26.5
22,8,2,00:01:26.1
22,8,3,00:01:27.9
22,9,1,00:01:26.8
22,9,2,00:01:26.1
22,9,3,00:01:28.4
22,10,1,00:01:26.6
22,10,2,00:01:27.8
22,12,1,00:01:27.6
22,13,1,00:01:26
22,13,2,00:01:26.2
22,13,3,00:01:27.6
22,14,1,00:01:26.9
22,14,2,00:01:26.5
22,14,3,00:01:30
22,15,1,00:01:26.7
22,15,2,00:01:26.8
22,15,3,00:01:28.8
22,16,1,00:01:28.3
22,17,1,00:01:26.8
22,17,2,00:01:26.5
22,17,3,00:01:28.4
22,18,1,00:01:27.4
22,18,2,00:01:27.3
22,20,1,00:01:27.4
22,20,2,00:01:27.4
22,21,1,00:01:27.8
22,22,1,00:01:27.4
22,22,2,00:01:27.2
23,1,1,00:01:15.6
23,1,2,00:01:15.3
23,1,3,00:01:15.8
23,2,1,00:01:16.6
23,2,2,00:01:16.5
23,3,1,00:01:15.9
23,3,2,00:01:15.3
23,3,3,00:01:16.5
23,4,1,00:01:16.6
23,4,2,00:01:15.8
23,4,3,00:01:16.9
23,5,1,00:01:15.3
23,5,2,00:01:15.4
23,5,3,00:01:16.2
23,6,1,00:01:16.8
23,6,2,00:01:16.5
23,7,1,00:01:16.8
