raceId,constructorId,position,points,pointsTotal,wins
55,5,9,0,0,0
55,9,8,1,2,0
55,3,7,0,5,0
55,11,4,2,13,0
55,1,2,8,23,0
55,6,3,0,15,0
55,4,1,14,42,3
56,8,11,0,0,0
56,13,10,0,0,0
56,7,7,0,7,0
56,2,5,0,10,0
56,5,9,0,0,0
56,9,8,0,2,0
56,3,6,3,8,0
56,11,4,2,15,0
56,1,2,10,33,0
56,6,3,15,30,1
56,4,1,9,51,3
57,8,11,0,0,0
57,13,10,0,0,0
57,7,7,0,7,0
57,2,5,1,11,0
57,5,9,0,0,0
57,9,8,0,2,0
57,3,6,2,10,0
57,11,4,4,19,0
57,1,3,5,38,0
57,6,2,16,46,2
57,4,1,11,62,3
58,8,11,0,0,0
58,13,10,0,0,0
58,7,7,0,7,0
58,2,5,1,12,0
58,5,9,0,0,0
58,9,8,0,2,0
58,3,6,0,10,0
58,11,4,5,24,0
58,1,3,4,42,0
58,6,2,13,59,2
58,4,1,16,78,4
59,8,11,0,0,0
59,13,10,0,0,0
59,7,7,1,8,0
59,2,5,2,14,0
59,5,9,0,0,0
59,9,8,6,8,0
59,3,6,0,10,0
59,11,4,5,29,0
59,1,3,8,50,0
59,6,2,4,63,2
59,4,1,13,91,5
60,8,11,0,0,0
60,13,10,0,0,0
60,7,7,0,8,0
60,2,5,3,17,0
60,5,9,0,0,0
60,9,8,0,8,0
60,3,6,0,10,0
60,11,4,0,29,0
60,1,3,9,59,0
60,6,2,12,75,2
60,4,1,15,106,6
61,8,11,0,0,0
61,13,10,0,0,0
61,7,6,3,11,0
61,2,5,2,19,0
61,5,9,0,0,0
61,9,8,1,9,0
61,3,7,0,10,0
61,11,4,0,29,0
61,1,3,6,65,0
61,6,2,12,87,2
61,4,1,15,121,7
62,8,11,0,0,0
62,13,10,0,0,0
62,7,6,5,16,0
62,2,5,0,19,0
62,5,9,1,1,0
62,9,7,2,11,0
62,3,8,0,10,0
62,11,4,3,32,0
62,1,3,0,65,0
62,6,2,18,105,3
62,4,1,10,131,7
63,8,11,0,0,0
63,13,10,0,0,0
63,7,5,5,21,0
63,2,6,1,20,0
63,5,9,0,1,0
63,9,7,0,11,0
63,3,8,0,10,0
63,11,4,0,32,0
63,1,3,6,71,0
63,6,2,16,121,4
63,4,1,11,142,7
64,8,11,0,0,0
64,13,10,0,0,0
64,7,5,2,23,0
64,2,6,0,20,0
64,5,9,0,1,0
64,9,7,1,12,0
64,3,8,0,10,0
64,11,4,5,37,0
64,1,3,6,77,0
64,6,2,18,139,5
64,4,1,7,149,7
65,8,11,0,0,0
65,13,10,0,0,0
65,7,5,3,26,0
65,2,6,6,26,0
65,5,9,0,1,0
65,9,7,4,16,0
65,3,8,0,10,0
65,11,4,15,52,1
65,1,3,8,85,0
65,6,2,3,142,5
65,4,1,0,149,7
66,8,11,0,0,0
66,13,10,0,0,0
66,7,5,2,28,0
66,2,6,0,26,0
66,5,9,0,1,0
66,9,7,0,16,0
66,3,8,0,10,0
66,11,4,6,58,1
66,1,3,4,89,0
66,6,2,16,158,6
66,4,1,11,160,7
67,14,12,0,0,0
67,8,11,0,0,0
67,7,6,2,30,0
67,2,5,7,33,0
67,5,9,0,1,0
67,9,7,0,16,0
67,3,8,0,10,0
67,11,4,7,65,1
67,1,3,8,97,0
67,6,1,10,168,7
67,4,2,5,165,7
68,14,12,0,0,0
68,8,11,0,0,0
68,7,6,0,30,0
68,2,5,2,35,0
68,5,9,0,1,0
68,9,7,0,16,0
68,3,8,1,11,0
68,11,4,8,73,1
68,1,3,4,101,0
68,6,2,10,178,8
68,4,1,14,179,7
69,14,12,0,0,0
69,8,11,0,0,0
69,7,6,5,35,0
69,2,5,1,36,0
69,5,9,0,1,0
69,9,7,0,16,0
69,3,8,0,11,0
69,11,4,5,78,1
69,1,3,4,105,0
69,6,2,8,186,8
69,4,1,16,195,8
70,14,12,0,0,0
70,8,11,0,0,0
70,7,6,0,35,0
70,2,5,0,36,0
70,5,9,0,1,0
70,9,7,0,16,0
70,3,8,0,11,0
70,11,4,8,86,1
70,1,3,5,110,0
70,6,2,15,201,9
70,4,1,11,206,8
71,17,8,0,0,0
71,16,10,0,0,0
71,15,7,0,0,0
71,7,6,0,0,0
71,1,5,4,4,0
71,3,4,4,4,0
71,9,3,7,7,0
71,6,2,8,8,0
71,4,1,16,16,1
72,17,8,0,0,0
72,16,10,0,0,0
72,15,7,0,0,0
72,7,2,12,12,0
72,1,6,5,9,0
72,3,5,6,10,0
72,9,3,4,11,0
72,6,4,2,10,0
72,4,1,10,26,2
73,17,8,0,0,0
73,16,10,0,0,0
73,15,7,2,2,0
73,7,2,13,25,0
73,1,3,10,19,0
73,3,4,3,13,0
73,9,5,1,12,0
73,6,6,0,10,0
73,4,1,10,36,3
74,17,8,0,0,0
74,16,10,0,0,0
74,15,7,5,7,0
74,7,2,4,29,0
74,1,3,6,25,0
74,3,5,5,18,0
74,9,6,1,13,0
74,6,4,8,18,0
75,18,9,0,0,0
75,17,8,0,0,0
75,15,7,0,7,0
75,7,2,11,40,0
75,1,3,12,37,1
75,3,4,3,21,0
75,9,6,1,14,0
75,6,5,0,18,0
76,17,8,0,0,0
76,15,7,0,7,0
76,7,3,3,43,0
76,1,2,14,51,2
76,3,4,14,35,0
76,9,6,0,14,0
76,6,5,3,21,0
76,4,1,5,63,4
77,18,10,0,0,0
77,17,8,0,0,0
77,16,9,0,0,0
77,15,7,0,7,0
77,7,3,1,44,0
77,1,2,2,53,2
77,3,4,8,43,0
77,9,6,5,19,0
77,6,5,10,31,0
77,4,1,13,76,5
78,18,10,0,0,0
78,17,8,0,0,0
78,16,9,0,0,0
78,15,7,5,12,0
78,7,4,3,47,0
78,1,2,10,63,3
78,3,3,4,47,0
78,9,6,3,22,0
78,6,5,14,45,0
78,4,1,0,76,5
79,18,9,7,7,0
79,17,8,11,11,0
79,16,10,0,0,0
79,15,7,0,12,0
79,7,5,0,47,0
79,1,2,0,63,3
79,3,4,0,47,0
79,9,6,0,22,0
79,6,3,18,63,1
79,4,1,0,76,5
80,18,9,0,7,0
80,17,8,0,11,0
80,16,10,5,5,0
80,15,7,1,13,0
80,7,4,6,53,0
80,1,2,8,71,3
80,3,5,0,47,0
80,9,6,0,22,0
80,6,3,6,69,1
80,4,1,13,89,6
81,18,10,0,7,0
81,17,8,0,11,0
81,16,9,4,9,0
81,15,7,0,13,0
81,7,4,1,54,0
81,1,2,16,87,4
81,3,5,0,47,0
81,9,6,0,22,0
81,6,3,5,74,1
81,4,1,13,102,6
82,18,10,0,7,0
82,17,9,0,11,0
82,16,7,6,15,0
82,15,8,1,14,0
82,7,4,3,57,0
82,1,2,8,95,4
82,3,5,0,47,0
82,9,6,2,24,0
82,6,3,4,78,1
82,4,1,15,117,7
83,18,10,0,7,0
83,17,9,0,11,0
83,16,7,5,20,0
83,15,8,0,14,0
83,7,4,11,68,0
83,1,2,10,105,5
83,3,5,5,52,0
83,9,6,0,24,0
83,6,3,8,86,1
83,4,1,0,117,7
84,18,10,0,7,0
84,17,9,0,11,0
84,16,7,4,24,0
84,15,8,0,14,0
84,7,4,3,71,0
84,1,2,16,121,6
84,3,5,0,52,0
84,9,6,3,27,0
84,6,3,0,86,1
84,4,1,13,130,7
85,18,10,0,7,0
85,17,9,0,11,0
85,16,7,1,25,0
85,15,8,0,14,0
85,7,4,7,78,0
85,1,2,15,136,7
85,3,5,2,54,0
85,9,6,0,27,0
85,6,3,0,86,1
85,4,1,14,144,7
86,18,10,0,7,0
86,17,9,1,12,0
86,16,6,6,31,0
86,15,8,3,17,0
86,7,4,2,80,0
86,1,2,10,146,8
86,3,5,5,59,0
86,9,7,0,27,0
86,6,3,4,90,1
86,4,1,8,152,7
87,18,10,0,7,0
87,17,9,0,12,0
87,16,6,2,33,0
87,15,8,0,17,0
87,7,4,1,81,0
87,1,1,18,164,9
87,3,5,0,59,0
87,9,7,0,27,0
87,6,3,8,98,1
87,4,2,10,162,7
88,18,10,0,7,0
88,17,9,0,12,0
88,16,6,4,37,0
88,15,8,0,17,0
88,7,4,1,82,0
88,1,2,10,174,10
88,3,5,5,64,0
88,9,7,3,30,0
88,6,3,2,100,1
88,4,1,14,176,7
89,18,10,0,7,0
89,17,9,0,12,0
89,16,6,1,38,0
89,15,8,3,20,0
89,7,4,6,88,0
89,1,2,8,182,10
89,3,5,2,66,0
89,9,7,4,34,0
89,6,3,0,100,1
89,4,1,15,191,8
90,17,9,0,0,0
90,7,8,0,0,0
90,19,7,0,0,0
90,15,6,0,0,0
90,1,5,1,1,0
90,16,4,3,3,0
90,3,2,9,9,0
90,4,3,8,8,0
90,6,1,18,18,1
91,18,10,0,0,0
91,17,9,0,0,0
91,7,7,0,0,0
91,19,8,0,0,0
91,15,6,1,1,0
91,1,5,3,4,0
91,16,4,6,9,0
91,3,2,8,17,0
91,4,3,6,14,0
91,6,1,15,33,2
92,18,10,0,0,0
92,17,9,0,0,0
92,7,8,0,0,0
92,19,7,1,1,0
92,15,6,0,1,0
92,1,5,0,4,0
92,16,4,10,19,0
92,3,3,2,19,0
92,4,2,8,22,0
92,6,1,18,51,3
93,18,10,0,0,0
93,17,9,0,0,0
93,7,8,0,0,0
93,19,7,0,1,0
93,15,6,0,1,0
93,1,5,1,5,0
93,16,3,8,27,0
93,3,4,8,27,0
93,4,2,9,31,0
93,6,1,13,64,4
94,18,10,0,0,0
94,17,9,0,0,0
94,7,8,0,0,0
94,19,7,0,1,0
94,15,6,2,3,0
94,1,5,0,5,0
94,16,3,5,32,0
94,3,4,3,30,0
94,4,2,11,42,0
94,6,1,18,82,5
95,18,10,0,0,0
95,17,8,2,2,0
95,7,7,4,4,0
95,19,9,0,1,0
95,15,5,4,7,0
95,1,6,0,5,0
95,16,3,8,40,0
95,3,4,5,35,0
95,4,2,10,52,1
95,6,1,6,88,5
96,18,10,0,0,0
96,17,9,0,2,0
96,7,7,0,4,0
96,19,8,2,3,0
96,15,5,3,10,0
96,1,6,0,5,0
96,16,3,6,46,0
96,3,4,1,36,0
96,4,2,9,61,1
96,6,1,18,106,6
97,18,10,0,0,0
97,17,7,3,5,0
97,7,8,0,4,0
97,19,9,0,3,0
97,15,5,5,15,0
97,1,6,7,12,0
97,16,3,6,52,0
97,3,4,0,36,0
97,4,2,0,61,1
97,6,1,18,124,7
98,18,10,1,1,0
98,17,8,0,5,0
98,7,7,4,8,0
98,19,9,0,3,0
98,15,6,0,15,0
98,1,5,5,17,0
98,16,3,6,58,0
98,3,4,0,36,0
98,4,2,5,66,1
98,6,1,18,142,8
99,18,10,0,1,0
99,17,8,0,5,0
99,7,7,0,8,0
99,19,9,0,3,0
99,15,6,0,15,0
99,1,5,5,22,0
99,16,3,4,62,0
99,3,4,1,37,0
99,4,2,13,79,1
99,6,1,16,158,9
100,18,10,0,1,0
100,17,8,0,5,0
100,7,7,0,8,0
100,19,9,1,4,0
100,15,6,3,18,0
100,1,5,10,32,0
100,16,3,5,67,0
100,3,4,4,41,0
100,4,2,0,79,1
100,6,1,16,174,10
101,18,10,0,1,0
101,17,9,0,5,0
101,7,7,0,8,0
101,19,8,3,7,0
101,15,6,0,18,0
101,1,5,5,37,0
101,16,3,9,76,0
101,3,4,6,47,0
101,4,2,6,85,1
101,6,1,10,184,11
102,18,10,0,1,0
102,17,9,0,5,0
102,7,7,0,8,0
102,19,8,0,7,0
102,15,6,1,19,0
102,1,5,0,37,0
102,16,3,7,83,0
102,3,4,7,54,0
102,4,2,6,91,1
102,6,1,18,202,12
103,18,10,0,1,0
103,17,9,0,5,0
103,7,8,1,9,0
103,19,7,3,10,0
103,15,6,9,28,0
103,1,5,12,49,1
103,16,3,0,83,0
103,3,4,0,54,0
103,4,2,0,91,1
103,6,1,14,216,12
104,18,10,0,1,0
104,17,9,0,5,0
104,7,8,0,9,0
104,19,7,0,10,0
104,15,6,1,29,0
104,1,5,3,52,1
104,16,2,11,94,0
104,3,4,6,60,0
104,4,3,0,91,1
104,6,1,18,234,13
105,18,10,0,1,0
105,17,9,0,5,0
105,7,8,0,9,0
105,19,7,0,10,0
105,15,6,3,32,0
105,1,5,6,58,1
105,16,2,11,105,0
105,3,4,4,64,0
105,4,3,5,96,1
105,6,1,10,244,14
106,18,10,0,1,0
106,17,9,0,5,0
106,7,8,0,9,0
106,19,7,0,10,0
106,15,6,1,33,0
106,1,5,3,61,1
106,16,2,11,116,0
106,3,4,10,74,0
106,4,3,4,100,1
106,6,1,10,254,15
107,18,10,0,1,0
107,17,9,0,5,0
107,7,8,0,9,0
107,19,7,0,10,0
107,15,6,1,34,0
107,1,5,8,69,1
107,16,2,3,119,0
107,3,4,14,88,1
107,4,3,5,105,1
107,6,1,8,262,15
108,18,7,0,0,0
108,16,6,0,0,0
108,15,5,3,3,0
108,4,3,6,6,0
108,6,4,5,5,0
108,3,2,9,9,0
108,1,1,16,16,1
109,7,9,0,0,0
109,17,7,0,0,0
109,18,8,0,0,0
109,16,6,2,2,0
109,15,5,1,4,0
109,4,3,10,16,0
109,6,2,11,16,0
109,3,4,5,14,0
109,1,1,10,26,2
110,19,8,0,0,0
110,7,9,0,0,0
110,17,5,10,10,1
110,18,10,0,0,0
110,16,7,3,5,0
110,15,6,4,8,0
110,4,2,7,23,0
110,6,3,0,16,0
110,3,4,2,16,0
110,1,1,13,39,2
111,19,9,0,0,0
111,7,8,0,0,0
111,17,5,0,10,1
111,18,10,0,0,0
111,16,7,1,6,0
111,15,6,0,8,0
111,4,3,3,26,0
111,6,2,16,32,1
111,3,4,7,23,0
111,1,1,12,51,2
112,19,9,2,2,0
112,7,8,3,3,0
112,17,5,1,11,1
112,18,10,0,0,0
112,16,7,0,6,0
112,15,6,0,8,0
112,4,3,8,34,0
112,6,2,16,48,2
112,3,4,9,32,0
112,1,1,0,51,2
113,19,8,2,4,0
113,7,9,0,3,0
113,17,5,0,11,1
113,18,10,0,0,0
113,16,6,5,11,0
113,15,7,0,8,0
113,4,3,1,35,0
113,6,1,16,64,3
113,3,4,3,35,0
113,1,2,12,63,2
114,19,8,0,4,0
114,7,9,0,3,0
114,17,5,0,11,1
114,18,10,0,0,0
114,16,6,0,11,0
114,15,7,0,8,0
114,4,4,7,42,0
114,6,2,7,71,3
114,3,3,15,50,1
114,1,1,10,73,2
115,19,8,2,6,0
115,7,9,1,4,0
115,17,5,0,11,1
115,18,10,0,0,0
115,16,6,0,11,0
115,15,7,0,8,0
115,4,4,5,47,0
115,6,1,14,85,4
115,3,3,14,64,1
115,1,2,3,76,2
116,19,8,3,9,0
116,7,9,0,4,0
116,17,6,0,11,1
116,18,10,0,0,0
116,16,5,2,13,0
116,15,7,1,9,0
116,4,4,5,52,0
116,6,1,10,95,4
116,3,2,18,82,2
116,1,3,0,76,2
117,19,6,3,12,0
117,7,9,1,5,0
117,17,7,0,11,1
117,18,10,0,0,0
117,16,5,0,13,0
117,15,8,0,9,0
117,4,4,0,52,0
117,6,1,8,103,4
117,3,2,18,100,3
117,1,3,9,85,2
118,19,6,0,12,0
118,7,9,2,7,0
118,17,7,0,11,1
118,18,10,0,0,0
118,16,5,1,14,0
118,15,8,0,9,0
118,4,4,3,55,0
118,6,1,15,118,5
118,3,2,8,108,3
118,1,3,10,95,2
119,19,7,0,12,0
119,7,6,7,14,0
119,17,8,0,11,1
119,18,10,0,0,0
119,16,5,1,15,0
119,15,9,0,9,0
119,4,4,11,66,0
119,6,1,2,120,5
119,3,2,10,118,4
119,1,3,8,103,2
120,19,6,3,15,0
120,7,7,0,14,0
120,17,8,0,11,1
120,18,10,0,0,0
120,16,5,0,15,0
120,15,9,0,9,0
120,4,4,12,78,1
120,6,2,1,121,5
120,3,1,11,129,4
120,1,3,12,115,2
121,19,6,2,17,0
121,7,7,0,14,0
121,17,8,0,11,1
121,18,10,0,0,0
121,16,5,3,18,0
121,15,9,0,9,0
121,4,4,1,79,1
121,6,2,16,137,6
121,3,1,12,141,4
121,1,3,5,120,2
122,19,7,1,18,0
122,7,8,0,14,0
122,17,9,2,13,1
122,18,10,0,0,0
122,16,6,0,18,0
122,15,5,10,19,0
122,4,4,5,84,1
122,6,1,10,147,7
122,3,2,3,144,4
122,1,3,8,128,2
123,19,7,0,18,0
123,7,8,2,16,0
123,17,9,0,13,1
123,18,10,0,0,0
123,16,5,8,26,0
123,15,6,0,19,0
123,4,4,4,88,1
123,6,1,11,158,8
123,3,2,0,144,4
123,1,3,14,142,2
124,7,6,1,1,0
124,18,5,2,2,0
124,19,4,3,3,0
124,1,3,4,4,0
124,3,2,6,6,0
124,6,1,10,10,1
125,21,11,0,0,0
125,17,10,0,0,0
125,16,9,0,0,0
125,15,6,3,3,0
125,4,5,3,3,0
125,7,8,0,1,0
125,18,7,0,2,0
125,19,4,0,3,0
125,1,3,0,4,0
125,3,1,16,22,1
125,6,2,4,14,1
126,21,11,0,0,0
126,17,10,0,0,0
126,16,9,0,0,0
126,15,6,0,3,0
126,4,4,3,6,0
126,7,8,1,2,0
126,18,7,0,2,0
126,19,5,0,3,0
126,1,3,4,8,0
126,3,1,8,30,1
126,6,2,10,24,2
127,21,11,0,0,0
127,17,10,0,0,0
127,16,9,0,0,0
127,15,6,0,3,0
127,4,4,2,8,0
127,7,8,0,2,0
127,18,7,0,2,0
127,19,5,0,3,0
127,1,3,1,9,0
127,3,2,7,37,1
127,6,1,16,40,3
128,21,9,1,1,0
128,17,11,0,0,0
128,16,10,0,0,0
128,15,5,5,8,0
128,4,4,0,8,0
128,7,8,0,2,0
128,18,7,0,2,0
128,19,6,0,3,0
128,1,3,4,13,0
128,3,2,6,43,1
128,6,1,10,50,4
129,21,10,0,1,0
129,17,8,2,2,0
129,16,11,0,0,0
129,15,5,0,8,0
129,4,4,0,8,0
129,7,9,0,2,0
129,18,7,0,2,0
129,19,6,0,3,0
129,1,3,1,14,0
129,3,2,7,50,1
129,6,1,16,66,5
130,21,10,1,2,0
130,17,6,2,4,0
130,16,11,0,0,0
130,15,5,0,8,0
130,4,4,3,11,0
130,7,9,0,2,0
130,18,8,0,2,0
130,19,7,0,3,0
130,1,3,10,24,1
130,3,2,4,54,1
130,6,1,6,72,5
131,21,10,0,2,0
131,17,6,2,6,0
131,16,11,0,0,0
131,15,5,0,8,0
131,4,4,1,12,0
131,7,9,0,2,0
131,18,8,0,2,0
131,19,7,0,3,0
131,1,3,9,33,1
131,3,2,0,54,1
131,6,1,14,86,6
132,21,10,0,2,0
132,17,6,0,6,0
132,16,11,0,0,0
132,15,5,1,9,0
132,4,4,2,14,0
132,7,9,0,2,0
132,18,8,0,2,0
132,19,7,0,3,0
132,1,3,4,37,1
132,3,2,3,57,1
132,6,1,16,102,7
133,21,11,0,2,0
133,17,6,0,6,0
133,16,7,5,5,0
133,15,5,1,10,0
133,4,4,0,14,0
133,7,10,0,2,0
133,18,9,0,2,0
133,19,8,0,3,0
133,1,3,0,37,1
133,3,2,4,61,1
133,6,1,16,118,8
134,21,11,0,2,0
134,17,6,0,6,0
134,16,7,0,5,0
134,15,5,0,10,0
134,4,4,1,15,0
134,7,10,0,2,0
134,18,9,0,2,0
134,19,8,0,3,0
134,1,3,10,47,1
